name,gender,faction,image,area,term,source,id,name__jp,name__jp_hiragana,faction__jp,area__jp,name__jp_hira
ABE Shinzo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/006.jpg/%24File/006.jpg,Yamaguchi 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/006.html,,安倍 晋三君,,自民,山口4,あべ しんぞう
ABE Tomoko,female,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/008.jpg/%24File/008.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/008.html,,阿部 知子君,,民進,（比）南関東,あべ ともこ
ABE Toshiko,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/004.jpg/%24File/004.jpg,Chugoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/004.html,,あべ 俊子君,,自民,（比）中国,あべ としこ
ADACHI Yasushi,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/007.jpg/%24File/007.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/007.html,,足立 康史君,,維新,（比）近畿,あだち やすし
AISAWA Ichiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/009.jpg/%24File/009.jpg,Okayama 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/009.html,,逢沢 一郎君,,自民,岡山1,あいさわ いちろう
AKABA Kazuyoshi,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/014.jpg/%24File/014.jpg,Hyogo 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/014.html,,赤羽 一嘉君,,公明,兵庫2,あかば かずよし
AKAEDA Tsuneo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/012.jpg/%24File/012.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/012.html,,赤枝 恒雄君,,自民,（比）東京都,あかえだ つねお
AKAMA Jiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/003.jpg/%24File/003.jpg,Kanagawa 14th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/003.html,,あかま 二郎君,,自民,神奈川14,あかま じろう
AKAMATSU Hirotaka,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/015.jpg/%24File/015.jpg,Aichi 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/015.html,,赤松 広隆君,,民進,愛知5,あかまつ ひろたか
AKAMINE Seiken,male,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/016.jpg/%24File/016.jpg,Okinawa 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/016.html,,赤嶺 政賢君,,共産,沖縄1,あかみね せいけん
AKAZAWA Ryosei,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/013.jpg/%24File/013.jpg,Tottori 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/013.html,,赤澤 亮正君,,自民,鳥取2,あかざわ りょうせい
AKIBA Kenya,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/017.jpg/%24File/017.jpg,Miyagi 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/017.html,,秋葉 賢也君,,自民,宮城2,あきば けんや
AKIMOTO Masatoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/019.jpg/%24File/019.jpg,Chiba 9th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/019.html,,秋本 真利君,,自民,千葉9,あきもと まさとし
AKIMOTO Tsukasa,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/018.jpg/%24File/018.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/018.html,,秋元 司君,,自民,（比）東京都,あきもと つかさ
AMARI Akira,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/023.jpg/%24File/023.jpg,Kanagawa 13th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/023.html,,甘利 明君,,自民,神奈川13,あまり あきら
ANAMI Yoichi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/022.jpg/%24File/022.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/022.html,,穴見 陽一君,,自民,（比）九州,あなみ よういち
ANDO Hiroshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/025.jpg/%24File/025.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/025.html,,安藤 裕君,,自民,（比）近畿,あんどう ひろし
AOYAGI Yoichiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/010.jpg/%24File/010.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/010.html,,青柳 陽一郎君,,民進,（比）南関東,あおやぎ よういちろう
AOYAMA Shuhei,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/011.jpg/%24File/011.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/011.html,,青山 周平君,,自民,（比）東海,あおやま しゅうへい
ARAI Satoshi,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/024.jpg/%24File/024.jpg,Hokkaido Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/024.html,,荒井 聰君,,民進,（比）北海道,あらい さとし
