id,name,party,party_id,email,image,source,term,constituency,tel,sort_name,family_name,given_name,phone
P202,Cynthia Elizabeth Tarragó Díaz,ANR,ANR,cynthiatarrago@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P202.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=202,2013,Capital,,"Tarragó Díaz, Cynthia Elizabeth",Tarragó Díaz,Cynthia Elizabeth,414 - 4314
P203,Dany Edgar Xavier Durand Espínola,ANR,ANR,danydurand@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P203.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=203,2013,Capital,,"Durand Espínola, Dany Edgar Xavier",Durand Espínola,Dany Edgar Xavier,414 - 4315
P205,Andrés Retamozo Ortíz,ANR,ANR,aretamozo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P205.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=205,2013,Alto Paraná,,"Retamozo Ortíz, Andrés",Retamozo Ortíz,Andrés,414 - 4317
P206,Carlos Manuel Maggi Rolón,ANR,ANR,carlosmaggi@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P206.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=206,2013,San Pedro,,"Maggi Rolón, Carlos Manuel",Maggi Rolón,Carlos Manuel,414 - 4318
P207,Atilio Penayo Ortega,ANR,ANR,apenayo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P207.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=207,2013,Central,,"Penayo Ortega, Atilio",Penayo Ortega,Atilio,414 - 4319
P208,Jorge Ignacio Baruja Fernández,ANR,ANR,jorgebaruja@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P208.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=208,2013,Paraguarí,,"Baruja Fernández, Jorge Ignacio",Baruja Fernández,Jorge Ignacio,414 - 4320
P209,Alsimio Casco Ayala,ANR,ANR,toticasco@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P209.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=209,2013,Concepción,,"Casco Ayala, Alsimio",Casco Ayala,Alsimio,414 - 4321
P210,Freddy Tadeo D´Ecclesiis Giménez,ANR,ANR,fdecclesiis@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P210.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=210,2013,San Pedro,,"D´Ecclesiis Giménez, Freddy Tadeo",D´Ecclesiis Giménez,Freddy Tadeo,414 - 4322
P211,Mario Duilio Cáceres González,ANR,ANR,mcaceres@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P211.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=211,2013,Itapúa,,"Cáceres González, Mario Duilio",Cáceres González,Mario Duilio,414 - 4343
P212,Bernardo Villalba Cardozo,ANR,ANR,bernardovc@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P212.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=212,2013,Concepción,,"Villalba Cardozo, Bernardo",Villalba Cardozo,Bernardo,414 - 4324
P213,Hugo Adalberto Velázquez Moreno,ANR,ANR,hvelazquez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P213.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=213,2013,Central,,"Velázquez Moreno, Hugo Adalberto",Velázquez Moreno,Hugo Adalberto,414 - 4305/6
P214,Julio Javier Ríos Bogado,ANR,ANR,jrios@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P214.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=214,2013,Capital,,"Ríos Bogado, Julio Javier",Ríos Bogado,Julio Javier,414 - 4326
P215,José María Ibañez Benítez,ANR,ANR,jmibanez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P215.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=215,2013,Central,,"Ibañez Benítez, José María",Ibañez Benítez,José María,414 - 4327
P216,Pablino Acasio Rodriguez Arias,ANR,ANR,pablinorodriguez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P216.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=216,2013,Misiones,,"Rodriguez Arias, Pablino Acasio",Rodriguez Arias,Pablino Acasio,414 - 4328
P217,Maria Rocio Casco Arce,AP,AP,rociocasco@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P217.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=217,2013,Central,,"Casco Arce, Maria Rocio",Casco Arce,Maria Rocio,414 - 4206
P218,Carlos Alberto Nuñez Salinas,ANR,ANR,canusa@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P218.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=218,2013,Central,,"Nuñez Salinas, Carlos Alberto",Nuñez Salinas,Carlos Alberto,414 - 4202
P219,Mario Walberto Soto Estigarribia,ANR,ANR,mwsoto@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P219.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=219,2013,Caaguazú,,"Soto Estigarribia, Mario Walberto",Soto Estigarribia,Mario Walberto,414 - 4203
P220,Celso Troche Alvarez,ANR,ANR,ctroche@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P220.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=220,2013,Caazapá,,"Troche Alvarez, Celso",Troche Alvarez,Celso,414 - 4204
P221,José Domingo Adorno Mazacotte,ANR,ANR,joseadorno@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P221.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=221,2013,Alto Paraguay,,"Adorno Mazacotte, José Domingo",Adorno Mazacotte,José Domingo,414 - 4205
P222,Aldo Efrain Vera Arnold,AP,AP,aldovera@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P222.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=222,2013,Capital,,"Vera Arnold, Aldo Efrain",Vera Arnold,Aldo Efrain,414 - 4201
P223,Nestor Fabián Ferrer Miranda,ANR,ANR,nestorferrer@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P223.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=223,2013,Central,,"Ferrer Miranda, Nestor Fabián",Ferrer Miranda,Nestor Fabián,414 - 4185
P224,Félix Fernando Ortellado Zorrilla,ANR,ANR,fortellado@diputado.gov.py,http://www.diputados.gov.py/fotos/cv/P224.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=224,2013,Guairá,,"Ortellado Zorrilla, Félix Fernando",Ortellado Zorrilla,Félix Fernando,414 - 4208
